               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040779,            0.012864,            0.030551,             0.61614,             0.75197,             0.75106,             0.36336,            0.034976,           0.0098017,            0.035521,            0.008218,            0.008218,            0.008218
                  38,            0.039615,            0.013529,            0.027868,             0.73102,             0.84091,             0.81277,             0.51297,            0.028707,           0.0092964,            0.035946,           0.0081685,           0.0081685,           0.0081685
                  39,            0.041603,            0.012758,             0.02841,             0.70531,             0.76154,             0.82755,             0.47633,            0.032155,           0.0091394,            0.034176,            0.008119,            0.008119,            0.008119
                  40,            0.038644,            0.012487,            0.026282,             0.67166,             0.74839,             0.79542,             0.39756,             0.03331,           0.0098267,            0.036404,           0.0080695,           0.0080695,           0.0080695
                  41,            0.039222,            0.013736,            0.024877,             0.72431,              0.7845,             0.81761,             0.49682,            0.029192,            0.010076,            0.038898,             0.00802,             0.00802,             0.00802
                  42,            0.039439,            0.012484,            0.025988,             0.69663,             0.76065,             0.78806,             0.34317,            0.042563,           0.0097807,            0.037595,           0.0079705,           0.0079705,           0.0079705
                  43,            0.038938,             0.01252,            0.023758,             0.65513,             0.76335,             0.77368,             0.30674,            0.037812,           0.0095115,            0.036492,            0.007921,            0.007921,            0.007921
                  44,            0.038868,            0.013135,            0.025236,             0.67546,             0.81077,             0.83677,             0.45423,            0.032666,           0.0095718,            0.036084,           0.0078715,           0.0078715,           0.0078715
                  45,            0.038651,            0.012656,            0.024721,             0.69063,              0.7691,             0.80216,             0.39896,            0.034184,           0.0095665,            0.034882,            0.007822,            0.007822,            0.007822
                  46,            0.037941,             0.01313,            0.021913,             0.69392,             0.71669,             0.74271,             0.42189,            0.030517,            0.010161,            0.042599,           0.0077725,           0.0077725,           0.0077725
                  47,            0.038739,            0.012073,            0.024654,             0.67606,             0.76704,             0.81072,             0.48103,            0.030149,           0.0084917,             0.03657,            0.007723,            0.007723,            0.007723
                  48,            0.037075,             0.01183,            0.020712,             0.77765,             0.80888,             0.84018,             0.49591,             0.03054,           0.0084304,            0.033461,           0.0076735,           0.0076735,           0.0076735
                  49,            0.038077,            0.012086,             0.02241,             0.78142,             0.74324,             0.80999,             0.49954,            0.030501,           0.0086484,            0.032187,            0.007624,            0.007624,            0.007624
                  50,            0.037504,             0.01303,            0.020659,             0.43392,             0.46818,              0.4598,             0.18277,            0.041987,            0.017176,            0.057671,           0.0075745,           0.0075745,           0.0075745
                  51,            0.036596,            0.012072,             0.01938,             0.63886,             0.46508,              0.5236,             0.25447,            0.042619,            0.017611,            0.050696,            0.007525,            0.007525,            0.007525
                  52,            0.037269,            0.012742,            0.019241,             0.82441,             0.47034,             0.70339,              0.3714,            0.033301,            0.011536,            0.051226,           0.0074755,           0.0074755,           0.0074755
                  53,            0.036217,            0.012307,            0.018679,              0.8607,             0.82273,             0.86472,             0.53328,            0.027472,           0.0084012,            0.034173,            0.007426,            0.007426,            0.007426
                  54,            0.036998,            0.012074,              0.0183,             0.84228,             0.83931,             0.86816,             0.48708,            0.030402,            0.008718,             0.03402,           0.0073765,           0.0073765,           0.0073765
                  55,            0.037194,            0.011466,            0.017269,             0.83778,             0.80109,             0.82401,             0.31193,            0.035138,           0.0089082,            0.034573,            0.007327,            0.007327,            0.007327
                  56,            0.035501,             0.01187,            0.018875,              0.8195,             0.77489,             0.79722,              0.3923,            0.036286,           0.0091109,             0.03556,           0.0072775,           0.0072775,           0.0072775
                  57,            0.037197,            0.011931,            0.016579,             0.85262,             0.82879,             0.84861,             0.39983,            0.034435,           0.0088017,            0.035131,            0.007228,            0.007228,            0.007228
                  58,            0.035566,            0.012284,            0.016786,             0.88062,             0.83375,             0.86454,             0.51264,            0.029822,           0.0082047,            0.034262,           0.0071785,           0.0071785,           0.0071785
                  59,            0.035199,            0.011576,            0.014717,             0.87199,             0.83088,             0.86756,             0.52905,            0.026287,           0.0081462,            0.037113,            0.007129,            0.007129,            0.007129
                  60,            0.034829,            0.011212,            0.015058,             0.89319,             0.82688,             0.86877,             0.56846,            0.025841,           0.0079754,            0.034845,           0.0070795,           0.0070795,           0.0070795
                  61,            0.035487,            0.011682,            0.014716,             0.81861,             0.81836,             0.85939,             0.50768,            0.027931,           0.0084288,            0.037198,             0.00703,             0.00703,             0.00703
                  62,             0.03553,            0.012362,            0.014596,             0.82116,             0.82195,             0.86757,             0.52609,            0.027985,           0.0083057,            0.033971,           0.0069805,           0.0069805,           0.0069805
                  63,            0.035227,            0.011504,            0.015862,             0.83788,             0.79506,             0.81582,             0.41854,            0.033095,           0.0085669,            0.034373,            0.006931,            0.006931,            0.006931
                  64,            0.034745,            0.011476,            0.013453,             0.89712,             0.83995,             0.86605,             0.47361,            0.031459,           0.0079436,            0.034228,           0.0068815,           0.0068815,           0.0068815
                  65,            0.033622,            0.011652,            0.013483,             0.84206,             0.78668,             0.85486,             0.54778,            0.025143,           0.0084473,            0.038764,            0.006832,            0.006832,            0.006832
                  66,             0.03455,            0.011435,            0.013869,             0.88974,             0.83485,             0.85385,             0.52044,            0.025402,           0.0079917,            0.037705,           0.0067825,           0.0067825,           0.0067825
                  67,            0.035148,            0.011015,            0.013073,             0.89607,             0.84091,             0.86438,             0.57026,             0.02408,           0.0081415,             0.03495,            0.006733,            0.006733,            0.006733
                  68,            0.034854,            0.011507,            0.013404,              0.8742,              0.8288,             0.86601,             0.55187,            0.025891,           0.0085714,            0.034936,           0.0066835,           0.0066835,           0.0066835
