               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028564,           0.0085263,            0.011422,             0.95296,             0.99388,               0.995,             0.73304,             0.01805,            0.003922,           0.0039687,           0.0082675,           0.0082675,           0.0082675
                  37,            0.028583,           0.0081235,            0.011691,             0.96039,              0.9783,             0.99478,             0.78203,            0.018693,            0.003758,           0.0044081,            0.008218,            0.008218,            0.008218
                  38,            0.027329,             0.00842,            0.011035,             0.98514,             0.99632,               0.995,             0.75926,            0.018922,           0.0038888,           0.0036586,           0.0081685,           0.0081685,           0.0081685
                  39,            0.028171,           0.0077815,            0.010379,             0.96723,             0.98565,             0.99404,             0.76152,             0.01884,           0.0038221,           0.0041911,            0.008119,            0.008119,            0.008119
                  40,            0.027977,           0.0084158,            0.010629,             0.98059,              0.9897,             0.99353,             0.77544,            0.017106,           0.0038094,           0.0038306,           0.0080695,           0.0080695,           0.0080695
                  41,            0.027331,           0.0080224,            0.010723,             0.97194,             0.99243,               0.995,             0.78394,             0.01765,           0.0040291,           0.0034691,             0.00802,             0.00802,             0.00802
                  42,            0.028334,           0.0079204,           0.0094599,              0.9821,             0.99221,               0.995,             0.81326,            0.014483,           0.0037589,           0.0033988,           0.0079705,           0.0079705,           0.0079705
                  43,             0.02624,           0.0083545,            0.010742,             0.98039,              0.9885,               0.995,             0.79683,            0.016817,           0.0038863,           0.0036993,            0.007921,            0.007921,            0.007921
                  44,            0.025742,           0.0077875,           0.0094179,             0.98106,             0.99511,             0.99456,             0.77084,            0.019238,           0.0036676,           0.0031846,           0.0078715,           0.0078715,           0.0078715
                  45,            0.027654,           0.0078119,            0.010387,             0.98974,              0.9984,               0.995,             0.78368,            0.016286,           0.0037891,           0.0029602,            0.007822,            0.007822,            0.007822
                  46,            0.026499,           0.0081097,           0.0083928,             0.98197,                   1,               0.995,             0.77349,            0.016398,           0.0037433,           0.0028512,           0.0077725,           0.0077725,           0.0077725
                  47,            0.027235,           0.0074642,           0.0095411,             0.98328,               0.993,             0.98811,             0.78242,            0.017611,           0.0039662,           0.0034275,            0.007723,            0.007723,            0.007723
                  48,            0.026648,           0.0078166,           0.0087302,             0.98391,             0.98594,             0.98671,             0.79876,            0.014987,           0.0037133,           0.0034853,           0.0076735,           0.0076735,           0.0076735
                  49,            0.027366,           0.0078426,             0.00806,             0.98639,             0.99164,             0.99452,             0.80862,            0.017228,           0.0036387,            0.003136,            0.007624,            0.007624,            0.007624
                  50,            0.025829,           0.0076822,           0.0084402,             0.97272,             0.97631,             0.99299,             0.76385,            0.015807,           0.0038268,           0.0029838,           0.0075745,           0.0075745,           0.0075745
                  51,            0.025344,            0.007742,           0.0091215,             0.98519,             0.99931,               0.995,             0.73346,            0.016373,           0.0039352,           0.0025951,            0.007525,            0.007525,            0.007525
                  52,            0.025119,           0.0075674,           0.0087982,              0.9784,             0.99454,             0.99478,             0.78712,            0.015545,           0.0039639,           0.0028836,           0.0074755,           0.0074755,           0.0074755
                  53,            0.026033,           0.0079373,           0.0093938,             0.96831,              0.9831,              0.9933,             0.77234,             0.01367,           0.0037134,           0.0034505,            0.007426,            0.007426,            0.007426
