               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.03004,           0.0086637,           0.0096824,             0.93058,             0.95196,             0.95052,             0.69838,            0.025662,           0.0068392,           0.0070912,           0.0086536,           0.0086536,           0.0086536
                  36,            0.030042,            0.008177,           0.0098307,             0.92247,             0.95192,             0.95053,             0.68114,            0.027169,           0.0068038,           0.0062754,            0.008614,            0.008614,            0.008614
                  37,            0.029085,           0.0082892,           0.0093537,             0.94377,             0.95813,             0.95205,             0.68501,            0.026494,           0.0067038,           0.0055605,           0.0085744,           0.0085744,           0.0085744
                  38,            0.029473,           0.0087068,            0.010221,             0.91118,             0.93263,             0.95119,             0.70125,            0.027179,           0.0066872,           0.0068773,           0.0085348,           0.0085348,           0.0085348
                  39,            0.029128,           0.0087753,           0.0096934,             0.90817,             0.93303,             0.95058,             0.68154,            0.024843,           0.0069291,            0.007996,           0.0084952,           0.0084952,           0.0084952
                  40,            0.027939,           0.0082222,           0.0090409,             0.94516,             0.94793,             0.95058,             0.70892,            0.026058,           0.0069224,           0.0051275,           0.0084556,           0.0084556,           0.0084556
                  41,              0.0284,           0.0080366,           0.0091729,             0.92499,             0.94524,             0.95167,             0.71058,            0.024786,           0.0069181,            0.006696,            0.008416,            0.008416,            0.008416
                  42,            0.028601,           0.0080891,           0.0086264,             0.93755,             0.93547,             0.94801,             0.67951,            0.027668,           0.0066613,            0.005296,           0.0083764,           0.0083764,           0.0083764
                  43,             0.02788,           0.0083367,            0.009492,             0.93426,              0.9276,             0.94677,             0.71543,            0.025482,           0.0067865,           0.0060506,           0.0083368,           0.0083368,           0.0083368
                  44,            0.028175,           0.0080169,           0.0080308,             0.93423,             0.95052,             0.95163,             0.70653,            0.027477,           0.0065831,           0.0051374,           0.0082972,           0.0082972,           0.0082972
                  45,            0.027918,           0.0083781,           0.0084761,              0.9443,             0.94789,             0.95111,              0.7173,            0.025458,           0.0066481,           0.0047744,           0.0082576,           0.0082576,           0.0082576
                  46,            0.027456,           0.0080657,           0.0085324,             0.94775,             0.94836,             0.95013,             0.70107,            0.024737,           0.0065157,           0.0049028,            0.008218,            0.008218,            0.008218
                  47,            0.028111,           0.0082922,           0.0089811,             0.94153,             0.95138,             0.94929,             0.68616,            0.026662,           0.0067516,           0.0046679,           0.0081784,           0.0081784,           0.0081784
                  48,            0.027537,            0.008187,           0.0079526,             0.94394,             0.94966,             0.95051,             0.72931,            0.024837,           0.0066016,           0.0048474,           0.0081388,           0.0081388,           0.0081388
